flow_id,timestamp,src_site,dst_site,src_ip,dst_ip,src_port,dst_port,protocol,application,bytes,packets,duration_ms,dscp,fault_active
NF-0000001,2026-06-24T00:01:00,branch-chennai,branch-nagpur,10.1.2.1,10.1.13.1,56222,21,TCP,FTP-Backup,41896346,42926,59337,CS0,0
NF-0000002,2026-06-24T00:05:00,branch-chandigarh,branch-jaipur,10.1.9.1,10.1.10.1,58664,8801,UDP,Video-Conf,11858037,10329,61994,AF41,0
NF-0000003,2026-06-24T00:53:00,branch-kochi,branch-hyderabad,10.1.12.1,10.1.3.1,54330,53,UDP,DNS,9394181,10810,119162,CS0,0
NF-0000004,2026-06-24T00:16:00,branch-chandigarh,branch-pune,10.1.9.1,10.1.4.1,49703,22,TCP,SSH,7409103,15371,110596,CS0,0
NF-0000005,2026-06-24T00:18:00,branch-nagpur,branch-guwahati,10.1.13.1,10.1.8.1,63430,123,UDP,NTP,13061409,11230,61213,CS0,0
NF-0000006,2026-06-24T00:10:00,branch-kolkata,branch-jaipur,10.1.6.1,10.1.10.1,59003,123,UDP,NTP,17968345,23155,83328,CS0,0
NF-0000007,2026-06-24T00:04:00,branch-chennai,branch-ahmedabad,10.1.2.1,10.1.5.1,59854,443,TCP,HTTPS,30418293,23220,104658,CS0,0
NF-0000008,2026-06-24T00:15:00,branch-hyderabad,branch-bhubaneswar,10.1.3.1,10.1.7.1,62149,3200,TCP,ERP-SAP,2183782,1924,11012,CS0,0
NF-0000009,2026-06-24T00:35:00,branch-jaipur,branch-guwahati,10.1.10.1,10.1.8.1,61795,8801,UDP,Video-Conf,19612070,16634,105555,AF41,0
NF-0000010,2026-06-24T00:44:00,branch-chandigarh,branch-hyderabad,10.1.9.1,10.1.3.1,60164,5060,UDP,VoIP-RTP,29340778,37329,12023,EF,0
NF-0000011,2026-06-24T00:44:00,branch-kochi,branch-kolkata,10.1.12.1,10.1.6.1,59790,514,UDP,Syslog,46368220,39428,18216,CS0,0
NF-0000012,2026-06-24T00:30:00,branch-bhopal,branch-hyderabad,10.1.14.1,10.1.3.1,54989,5060,UDP,VoIP-RTP,7791608,16648,79305,EF,0
NF-0000013,2026-06-24T00:48:00,hub-delhi,dc-mumbai,10.0.0.1,10.0.0.2,58364,443,TCP,HTTPS,27792766,39089,39626,CS0,0
NF-0000014,2026-06-24T00:44:00,dc-mumbai,branch-pune,10.0.0.2,10.1.4.1,56819,514,UDP,Syslog,3485307,4024,43638,CS0,0
NF-0000015,2026-06-24T00:17:00,branch-chandigarh,dc-mumbai,10.1.9.1,10.0.0.2,54495,123,UDP,NTP,45821596,37132,105524,CS0,0
NF-0000016,2026-06-24T00:18:00,branch-guwahati,branch-nagpur,10.1.8.1,10.1.13.1,53019,21,TCP,FTP-Backup,19120089,33485,93639,CS0,0
NF-0000017,2026-06-24T00:24:00,branch-nagpur,branch-pune,10.1.13.1,10.1.4.1,63172,179,TCP,BGP,6013662,12051,99695,CS0,0
NF-0000018,2026-06-24T00:35:00,branch-kolkata,hub-delhi,10.1.6.1,10.0.0.1,60205,443,TCP,HTTPS,21798730,53167,69141,CS0,0
NF-0000019,2026-06-24T00:58:00,hub-delhi,branch-guwahati,10.0.0.1,10.1.8.1,55857,161,UDP,SNMP,17268920,13870,1761,CS0,0
NF-0000020,2026-06-24T00:40:00,branch-chennai,dc-mumbai,10.1.2.1,10.0.0.2,65252,161,UDP,SNMP,20092626,17718,6999,CS0,0
NF-0000021,2026-06-24T00:16:00,branch-bengaluru,branch-kochi,10.1.1.1,10.1.12.1,64276,123,UDP,NTP,1503250,1872,43724,CS0,0
NF-0000022,2026-06-24T00:48:00,dc-mumbai,branch-lucknow,10.0.0.2,10.1.11.1,65131,123,UDP,NTP,16718914,19950,117197,CS0,0
NF-0000023,2026-06-24T00:53:00,hub-delhi,branch-chandigarh,10.0.0.1,10.1.9.1,52286,123,UDP,NTP,38408223,29912,90974,CS0,0
NF-0000024,2026-06-24T00:35:00,branch-ahmedabad,branch-bengaluru,10.1.5.1,10.1.1.1,49643,123,UDP,NTP,27735846,27987,119040,CS0,0
NF-0000025,2026-06-24T00:36:00,branch-kochi,branch-jaipur,10.1.12.1,10.1.10.1,54534,3200,TCP,ERP-SAP,44227068,72981,19454,CS0,0
NF-0000026,2026-06-24T00:17:00,branch-pune,branch-kochi,10.1.4.1,10.1.12.1,51830,389,TCP,LDAP,4053340,3602,85066,CS0,0
NF-0000027,2026-06-24T00:06:00,hub-delhi,branch-lucknow,10.0.0.1,10.1.11.1,61358,389,TCP,LDAP,3848675,5857,107363,CS0,0
NF-0000028,2026-06-24T00:57:00,branch-pune,branch-chandigarh,10.1.4.1,10.1.9.1,53292,179,TCP,BGP,427941,385,106815,CS0,0
NF-0000029,2026-06-24T00:21:00,branch-bengaluru,branch-kochi,10.1.1.1,10.1.12.1,55989,22,TCP,SSH,27273528,25900,82347,CS0,0
NF-0000030,2026-06-24T00:49:00,branch-chandigarh,branch-kolkata,10.1.9.1,10.1.6.1,49817,389,TCP,LDAP,11031844,18417,78070,CS0,0
NF-0000031,2026-06-24T00:05:00,branch-bhopal,branch-ahmedabad,10.1.14.1,10.1.5.1,61403,53,UDP,DNS,9461652,6876,77966,CS0,0
NF-0000032,2026-06-24T00:01:00,branch-bhubaneswar,hub-delhi,10.1.7.1,10.0.0.1,54496,21,TCP,FTP-Backup,28287702,48026,20740,CS0,0
NF-0000033,2026-06-24T00:12:00,branch-kochi,branch-lucknow,10.1.12.1,10.1.11.1,60531,443,TCP,HTTPS,48619566,96659,6125,CS0,0
NF-0000034,2026-06-24T00:51:00,branch-hyderabad,branch-ahmedabad,10.1.3.1,10.1.5.1,61561,22,TCP,SSH,8610312,17083,93114,CS0,0
NF-0000035,2026-06-24T00:44:00,branch-nagpur,branch-ahmedabad,10.1.13.1,10.1.5.1,64682,3200,TCP,ERP-SAP,14160864,33958,46120,CS0,0
NF-0000036,2026-06-24T00:37:00,branch-jaipur,branch-bengaluru,10.1.10.1,10.1.1.1,62766,389,TCP,LDAP,29662973,41428,114051,CS0,0
NF-0000037,2026-06-24T00:23:00,branch-pune,branch-guwahati,10.1.4.1,10.1.8.1,53634,8801,UDP,Video-Conf,19424773,24967,50844,AF41,0
NF-0000038,2026-06-24T00:26:00,branch-chandigarh,branch-bhopal,10.1.9.1,10.1.14.1,50616,443,TCP,HTTPS,43620758,75599,6939,CS0,0
NF-0000039,2026-06-24T00:06:00,branch-chennai,branch-jaipur,10.1.2.1,10.1.10.1,52713,53,UDP,DNS,1180300,1824,88533,CS0,0
NF-0000040,2026-06-24T00:06:00,branch-bhopal,branch-hyderabad,10.1.14.1,10.1.3.1,56131,53,UDP,DNS,27628846,20079,74357,CS0,0
NF-0000041,2026-06-24T01:21:00,hub-delhi,branch-chennai,10.0.0.1,10.1.2.1,50955,21,TCP,FTP-Backup,36601152,48997,60476,CS0,0
NF-0000042,2026-06-24T01:35:00,branch-hyderabad,hub-delhi,10.1.3.1,10.0.0.1,57179,389,TCP,LDAP,33280132,23942,51262,CS0,0
NF-0000043,2026-06-24T01:02:00,branch-chennai,branch-kochi,10.1.2.1,10.1.12.1,57351,8801,UDP,Video-Conf,38005172,39221,92694,AF41,0
NF-0000044,2026-06-24T01:32:00,branch-guwahati,branch-bhopal,10.1.8.1,10.1.14.1,53418,3200,TCP,ERP-SAP,19889772,26769,38361,CS0,0
NF-0000045,2026-06-24T01:36:00,branch-jaipur,branch-kochi,10.1.10.1,10.1.12.1,57106,53,UDP,DNS,9339924,8794,119686,CS0,0
NF-0000046,2026-06-24T01:24:00,branch-pune,branch-nagpur,10.1.4.1,10.1.13.1,60395,8801,UDP,Video-Conf,7069218,5163,95344,AF41,0
NF-0000047,2026-06-24T01:26:00,branch-chandigarh,branch-chennai,10.1.9.1,10.1.2.1,54912,5060,UDP,VoIP-RTP,15318804,11995,27729,EF,0
NF-0000048,2026-06-24T01:59:00,branch-bhubaneswar,branch-kochi,10.1.7.1,10.1.12.1,58402,161,UDP,SNMP,6884481,11379,112427,CS0,0
NF-0000049,2026-06-24T01:24:00,branch-bhopal,branch-jaipur,10.1.14.1,10.1.10.1,54677,443,TCP,HTTPS,46236420,66336,92596,CS0,0
NF-0000050,2026-06-24T01:41:00,hub-delhi,branch-pune,10.0.0.1,10.1.4.1,63189,5060,UDP,VoIP-RTP,8999271,6781,85962,EF,0
NF-0000051,2026-06-24T01:15:00,branch-hyderabad,branch-kochi,10.1.3.1,10.1.12.1,57322,22,TCP,SSH,18340820,38130,90587,CS0,0
