event_id,timestamp,site_id,severity,facility,message,fault_type,correlated_scenario
SLOG-000362,2026-06-24T00:13:23,hub-delhi,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000367,2026-06-24T00:22:50,branch-chennai,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface Loopback0, changed state to up",normal,none
SLOG-000365,2026-06-24T00:24:48,branch-bengaluru,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000364,2026-06-24T00:35:04,branch-jaipur,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.10.1,normal,none
SLOG-000366,2026-06-24T00:49:53,branch-hyderabad,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.3.1 Up,normal,none
SLOG-000368,2026-06-24T00:52:17,branch-bengaluru,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface GigabitEthernet0/1, changed state to up",normal,none
SLOG-000363,2026-06-24T00:58:45,branch-kochi,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000370,2026-06-24T01:36:39,branch-ahmedabad,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.5.1 Up,normal,none
SLOG-000372,2026-06-24T01:37:33,branch-bhopal,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.14.1 Up,normal,none
SLOG-000369,2026-06-24T01:45:43,branch-kolkata,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.6.1 Up,normal,none
SLOG-000371,2026-06-24T01:48:57,branch-kochi,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.12.1 on Tunnel1 from LOADING to FULL",normal,none
SLOG-000013,2026-06-24T02:06:04.668320,branch-chennai,WARN,LOCAL7,"%IP-4-RTCHANGE: Route table instability detected, 498 routes flapping",congestion_buildup,scenario-1
SLOG-000015,2026-06-24T02:06:16.015471,branch-chennai,WARN,LOCAL7,%MPLS-4-LDP_CONGESTION: LDP label space pressure on Tunnel0,congestion_buildup,scenario-1
SLOG-000001,2026-06-24T02:06:48.161641,branch-chennai,WARN,LOCAL7,%INTERFACE-3-QUEUE_LIMIT: Interface Loopback0 output queue depth 74% of max,congestion_buildup,scenario-1
SLOG-000009,2026-06-24T02:12:46.349635,branch-chennai,WARN,LOCAL7,%MPLS-4-LDP_CONGESTION: LDP label space pressure on GigabitEthernet0/1,congestion_buildup,scenario-1
SLOG-000374,2026-06-24T02:14:48,branch-lucknow,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.11.1 on GigabitEthernet0/1 from LOADING to FULL",normal,none
SLOG-000375,2026-06-24T02:18:23,branch-pune,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.4.1,normal,none
SLOG-000014,2026-06-24T02:19:10.315644,branch-chennai,WARN,LOCAL7,%INTERFACE-3-QUEUE_LIMIT: Interface Loopback0 output queue depth 94% of max,congestion_buildup,scenario-1
SLOG-000005,2026-06-24T02:20:20.310050,branch-chennai,WARN,LOCAL7,%INTERFACE-3-QUEUE_LIMIT: Interface Tunnel0 output queue depth 85% of max,congestion_buildup,scenario-1
SLOG-000017,2026-06-24T02:23:00.355402,branch-chennai,WARN,LOCAL7,"%IP-4-RTCHANGE: Route table instability detected, 124 routes flapping",congestion_buildup,scenario-1
SLOG-000007,2026-06-24T02:29:25.183207,branch-chennai,WARN,LOCAL7,%MPLS-4-LDP_CONGESTION: LDP label space pressure on Tunnel1,congestion_buildup,scenario-1
SLOG-000373,2026-06-24T02:38:26,branch-kolkata,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.6.1,normal,none
